"data.eventid: Descending",Count,"Count percentages"
"cowrie.session.connect",2025,"0.20193458316713203"
"cowrie.session.closed",2024,"0.2018348623853211"
"cowrie.client.version",1912,"0.190666134822497"
"cowrie.client.kex",1903,"0.18976864778619865"
"cowrie.login.failed",1836,"0.18308735540486637"
"cowrie.login.success",78,"0.007778220981252493"
"cowrie.command.input",49,"0.00488631830873554"
"cowrie.session.params",49,"0.00488631830873554"
"cowrie.log.closed",48,"0.004786597526924611"
"cowrie.client.fingerprint",46,"0.0045871559633027525"
"cowrie.direct-tcpip.data",23,"0.0022935779816513763"
"cowrie.direct-tcpip.request",23,"0.0022935779816513763"
"cowrie.session.file_upload",7,"0.0006980454726765058"
"cowrie.direct-tcpip.ja4",3,"0.0002991623454327882"
"cowrie.client.size",1,"0.00009972078181092939"
"cowrie.direct-tcpip.ja4h",1,"0.00009972078181092939"
