IP,events,sessions,events_per_session,asn,as_org,country,abuse_confidence
45.153.34.149,2651,528,5.02083333333333,AS197170,TechTies Inc. ,Netherlands,100
91.92.47.140,4004,501,7.99201596806387,AS197170,TechTies Inc. ,Netherlands,100
45.153.34.165,2305,289,7.9757785467128,AS197170,TechTies Inc. ,Netherlands,100
91.92.47.55,1956,245,7.98367346938776,AS197170,TechTies Inc. ,Netherlands,100
195.178.110.218,703,140,5.02142857142857,AS48090,TECHOFF SRV LIMITED ,Netherlands,100
195.178.110.228,692,136,5.08823529411765,AS48090,TECHOFF SRV LIMITED ,Netherlands,100
2.57.122.150,656,130,5.04615384615385,AS47890,UNMANAGED LTD ,Romania,100
92.118.39.77,534,105,5.08571428571429,AS47890,UNMANAGED LTD ,Romania,100
45.148.10.240,377,76,4.96052631578947,AS48090,TECHOFF SRV LIMITED ,Netherlands,100
92.118.39.49,322,62,5.19354838709677,AS47890,UNMANAGED LTD ,Romania,100
139.19.117.129,168,21,8,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V. ,Germany,100
176.53.159.196,119,17,7,AS154383,ZORNTECH WEB SOLUTIONS ,Poland,100
195.178.110.232,86,17,5.05882352941176,AS48090,TECHOFF SRV LIMITED ,Netherlands,100
195.178.110.137,71,13,5.46153846153846,AS48090,TECHOFF SRV LIMITED ,Netherlands,100
171.243.149.32,65,13,5,AS7552,Viettel Group ,Vietnam,100
171.231.179.255,55,12,4.58333333333333,AS7552,Viettel Group ,Vietnam,100
172.222.111.195,55,11,5,AS20115,Charter Communications LLC ,USA,100
34.78.35.66,37,10,3.7,AS396982,Google LLC ,Belgium,100
92.118.39.14,63,9,7,AS47890,UNMANAGED LTD ,Romania,100
176.53.159.197,23,3,7.66666666666667,AS154383,ZORNTECH WEB SOLUTIONS ,Poland,100
,,,,,,,
,,,,,,,
,,,,,,,
Timeframe,22 Aug 5PM,23 Aug 10PM ,,,,,
